date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-08,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49
2014-07-09,85,74,95,75,93,64,102,1905,1980,0,0.14,2.39
2014-07-15,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32
2014-07-21,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09
2014-07-26,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35
2014-07-28,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52
2014-08-02,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65
2014-08-03,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77
2014-08-06,85,75,94,75,95,64,101,1891,1947,0,0.11,1.2
2014-08-08,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66
2014-08-10,86,78,94,75,95,62,104,1989,1962,0,0.11,2.88
2014-08-12,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41
2014-08-14,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8
2014-08-15,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74
2014-08-18,86,76,96,75,95,62,108,1992,1909,0,0.13,6.69
2014-08-22,87,75,98,75,94,64,106,1976,1980,0,0.13,3.25
2014-08-23,87,75,98,75,94,64,107,1973,1980,0,0.13,2.46
2014-08-24,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48
2014-08-26,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66
2014-08-29,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89
2014-08-30,84,75,92,74,93,62,104,1986,2000,0,0.15,2.56
2014-08-31,79,74,84,74,93,62,107,1893,2000,0.83,0.16,5.98
2014-09-01,84,74,93,74,93,63,107,1915,2000,0.36,0.15,2.22
2014-09-02,85,76,94,73,93,60,104,1893,2000,0,0.14,1.81
2014-09-04,85,76,93,73,92,59,109,1974,2000,0,0.14,2.75
2014-09-13,72,67,77,71,90,56,102,1907,2011,0.01,0.15,7.73
2014-09-15,80,68,92,70,90,55,98,1892,1980,0,0.14,3.23
2014-09-16,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72
2014-09-18,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53
2014-09-20,81,73,89,69,89,54,99,1901,1999,0,0.13,7.66
2014-09-26,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86
2014-09-29,80,70,89,66,86,47,96,1908,2011,0,0.12,2.51
2014-10-01,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62
2014-10-04,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6
2014-10-15,68,51,84,61,82,40,92,1978,1947,0,0.2,4.87
2014-10-16,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17
